nace_code,flag_direct,flag_indirect
43.31,0.0,0.0
43.32,0.0,0.0
43.33,0.0,0.0
43.34,0.0,0.0
43.39,0.0,0.0
43.91,0.0,0.0
43.99,0.0,0.0
45.11,0.0,0.0
45.19,0.0,0.0
45.20,0.0,0.0
45.31,0.0,0.0
45.32,0.0,0.0
45.40,0.0,0.0
46.11,1.0,0.0
46.12,0.0,1.0
46.13,0.0,1.0
46.14,0.0,1.0
46.15,0.0,0.0
46.16,0.0,0.0
46.17,0.0,1.0
46.18,0.0,1.0
46.19,0.0,1.0
46.21,0.0,1.0
46.22,0.0,0.0
46.23,1.0,0.0
46.24,0.0,0.0
46.31,0.0,1.0
46.32,0.0,1.0
46.33,0.0,1.0
46.34,0.0,1.0
46.35,0.0,0.0
46.36,0.0,1.0
46.37,0.0,1.0
46.38,0.0,1.0
46.39,0.0,1.0
46.41,0.0,0.0
46.42,0.0,0.0
46.43,0.0,0.0
46.44,0.0,0.0
46.45,0.0,0.0
46.46,0.0,0.0
46.47,0.0,0.0
46.48,0.0,0.0
46.49,0.0,0.0
46.51,0.0,0.0
46.52,0.0,0.0
46.61,0.0,1.0
46.62,0.0,1.0
46.63,0.0,1.0
46.64,0.0,1.0
46.65,0.0,0.0
46.66,0.0,0.0
46.69,0.0,1.0
46.71,0.0,0.0
46.72,0.0,1.0
46.73,0.0,1.0
46.74,0.0,1.0
46.75,0.0,1.0
46.76,0.0,1.0
46.77,0.0,1.0
46.90,0.0,1.0
47.11,0.0,1.0
47.19,0.0,0.0
47.21,0.0,1.0
47.22,0.0,1.0
47.23,0.0,1.0
47.24,0.0,1.0
47.25,0.0,1.0
47.26,0.0,1.0
47.29,0.0,1.0
47.30,0.0,0.0
47.41,0.0,0.0
47.42,0.0,0.0
47.43,0.0,0.0
47.51,0.0,1.0
47.52,0.0,0.0
47.53,0.0,0.0
47.54,0.0,0.0
47.59,0.0,0.0
47.61,0.0,0.0
47.62,0.0,0.0
47.63,0.0,0.0
47.64,0.0,0.0
47.65,0.0,0.0
47.71,0.0,1.0
47.72,0.0,1.0
47.73,0.0,0.0
47.74,0.0,0.0
47.75,0.0,0.0
47.76,0.0,0.0
47.77,0.0,0.0
47.78,0.0,0.0
47.79,0.0,0.0
47.81,0.0,1.0
47.82,0.0,1.0
47.89,0.0,0.0
47.91,0.0,0.0
47.99,0.0,0.0
49.10,0.0,0.0
49.20,0.0,0.0
49.31,0.0,0.0
49.32,0.0,0.0
49.39,0.0,0.0
49.41,0.0,0.0
49.42,0.0,0.0
49.50,0.0,0.0
50.10,0.0,0.0
50.20,0.0,0.0
50.30,0.0,0.0
50.40,0.0,0.0
51.10,0.0,0.0
51.21,0.0,0.0
51.22,0.0,0.0
52.10,0.0,0.0
52.21,0.0,0.0
52.22,0.0,0.0
52.23,0.0,0.0
52.24,0.0,0.0
52.29,0.0,0.0
53.10,0.0,0.0
53.20,0.0,0.0
55.10,0.0,0.0
55.20,0.0,0.0
55.30,0.0,0.0
55.90,0.0,0.0
56.10,0.0,0.0
56.21,0.0,0.0
56.29,0.0,0.0
56.30,0.0,0.0
58.11,0.0,0.0
58.12,0.0,0.0
58.13,0.0,0.0
58.14,0.0,0.0
58.19,0.0,0.0
58.29,0.0,0.0
59.11,0.0,0.0
59.12,0.0,0.0
59.13,0.0,0.0
59.14,0.0,0.0
59.1,0.0,0.0
59.20,0.0,0.0
60.10,0.0,0.0
60.20,0.0,0.0
61.10,0.0,0.0
61.20,0.0,0.0
61.30,0.0,0.0
61.90,0.0,0.0
62.01,0.0,0.0
62.02,0.0,0.0
62.03,0.0,0.0
62.09,0.0,0.0
63.11,0.0,0.0
63.12,0.0,0.0
63.91,0.0,0.0
63.99,0.0,0.0
63.9,0.0,0.0
64.11,0.0,0.0
64.19,0.0,0.0
64.20,0.0,0.0
64.30,0.0,0.0
64.91,0.0,0.0
64.92,0.0,0.0
64.99,0.0,0.0
65.11,0.0,0.0
65.12,0.0,0.0
65.20,0.0,0.0
65.30,0.0,0.0
66.11,0.0,0.0
66.12,0.0,0.0
66.19,0.0,0.0
66.21,0.0,0.0
66.22,0.0,0.0
66.29,0.0,0.0
66.30,0.0,0.0
68.10,0.0,0.0
68.20,0.0,0.0
68.31,0.0,0.0
68.32,0.0,0.0
69.10,0.0,0.0
69.1,0.0,0.0
69.20,0.0,0.0
70.10,0.0,0.0
70.11,0.0,0.0
70.21,0.0,0.0
70.22,0.0,0.0
71.11,0.0,0.0
71.12,0.0,0.0
71.20,0.0,0.0
72.11,0.0,0.0
72.19,0.0,0.0
72.20,0.0,0.0
73.11,0.0,0.0
73.12,0.0,0.0
73.20,0.0,0.0
74.10,0.0,0.0
74.20,0.0,0.0
74.2,0.0,0.0
74.30,0.0,0.0
74.90,0.0,0.0
75.00,0.0,0.0
77.11,0.0,0.0
77.12,0.0,0.0
77.1,0.0,0.0
77.21,0.0,0.0
77.22,0.0,0.0
77.29,0.0,0.0
77.31,0.0,1.0
77.32,0.0,1.0
77.33,0.0,0.0
77.34,0.0,0.0
77.35,0.0,1.0
77.39,0.0,1.0
77.40,0.0,0.0
78.10,0.0,0.0
78.20,0.0,0.0
78.30,0.0,0.0
79.11,0.0,0.0
79.12,0.0,0.0
79.90,0.0,0.0
80.10,0.0,0.0
80.20,0.0,0.0
80.30,0.0,0.0
81.10,0.0,0.0
81.21,0.0,0.0
81.22,0.0,0.0
81.29,0.0,0.0
81.30,0.0,0.0
82.11,0.0,0.0
82.19,0.0,0.0
82.20,0.0,0.0
82.30,0.0,0.0
82.91,0.0,0.0
82.92,0.0,0.0
82.99,0.0,0.0
82.9,0.0,0.0
84.11,0.0,0.0
84.12,0.0,0.0
84.13,0.0,0.0
84.21,0.0,0.0
84.22,0.0,0.0
84.23,0.0,0.0
84.24,0.0,0.0
84.25,0.0,0.0
84.30,0.0,0.0
85.10,0.0,0.0
85.20,0.0,0.0
85.31,0.0,0.0
85.32,0.0,0.0
85.41,0.0,0.0
85.42,0.0,0.0
85.51,0.0,0.0
85.52,0.0,0.0
85.53,0.0,0.0
85.59,0.0,0.0
85.60,0.0,0.0
86.10,0.0,0.0
86.21,0.0,0.0
86.22,0.0,0.0
86.23,0.0,0.0
86.90,0.0,0.0
87.10,0.0,0.0
87.20,0.0,0.0
87.30,0.0,0.0
87.90,0.0,0.0
88.10,0.0,0.0
88.91,0.0,0.0
88.99,0.0,0.0
90.01,0.0,0.0
90.02,0.0,0.0
90.03,0.0,0.0
90.04,0.0,0.0
91.01,0.0,0.0
91.02,0.0,0.0
91.03,0.0,0.0
91.04,0.0,0.0
92.00,0.0,0.0
93.11,0.0,0.0
93.12,0.0,0.0
93.13,0.0,0.0
93.19,0.0,0.0
93.21,0.0,0.0
93.29,0.0,0.0
94.11,0.0,0.0
94.12,0.0,0.0
94.20,0.0,0.0
94.91,0.0,0.0
94.92,0.0,0.0
94.99,0.0,0.0
95.11,0.0,0.0
95.12,0.0,0.0
95.21,0.0,0.0
95.22,0.0,0.0
95.23,0.0,0.0
95.24,0.0,0.0
95.25,0.0,0.0
95.29,0.0,0.0
96.01,0.0,0.0
96.02,0.0,0.0
96.03,0.0,0.0
96.04,0.0,0.0
96.09,0.0,0.0
97.00,0.0,0.0
98.10,0.0,0.0
98.20,0.0,0.0
99.00,0.0,0.0
